id,text_snippet,labels
68,We are considering CompetitorX due to their pricing concerns.,Pricing Discussion
69,We are considering CompetitorZ due to their pricing concerns.,"Security, Pricing Discussion, Objection"
70,"The AI engine is impressive, but how does it compare to competitors?",Objection
71,Can you provide a discount for your product features?,"Objection, Security, Pricing Discussion"
72,We are considering CompetitorZ due to their pricing concerns.,"Objection, Competition"
73,We are considering CompetitorX due to their pricing concerns.,"Objection, Competition, Pricing Discussion"
74,Can you provide a budget for your product features?,Security
75,What discounts do you offer for renewals?,Pricing Discussion
76,We are considering CompetitorY due to their pricing concerns.,"Competition, Security"
77,"The AI engine is impressive, but how does it compare to competitors?","Pricing Discussion, Competition"
78,"The analytics is impressive, but how does it compare to competitors?",Objection
79,Can you provide a budget for your product features?,"Security, Pricing Discussion, Competition"
80,Our team is worried about integration.,Objection
81,What discounts do you offer for renewals?,Security
82,What discounts do you offer for renewals?,Objection
83,Can you provide a pricing model for your product features?,"Competition, Security"
84,Can you provide a renewal cost for your product features?,"Competition, Pricing Discussion"
85,What discounts do you offer for renewals?,Objection
86,"The AI engine is impressive, but how does it compare to competitors?","Objection, Competition, Security"
87,Can you provide a discount for your product features?,Pricing Discussion
88,Can you provide a budget for your product features?,"Security, Objection"
89,What discounts do you offer for renewals?,"Security, Pricing Discussion"
90,What discounts do you offer for renewals?,"Objection, Pricing Discussion"
91,Our team is worried about data security.,Pricing Discussion
92,"The analytics is impressive, but how does it compare to competitors?","Competition, Objection"
93,What discounts do you offer for renewals?,"Pricing Discussion, Security, Competition"
94,Our team is worried about data security.,Objection
95,We are considering CompetitorY due to their pricing concerns.,"Competition, Objection, Security"
96,We are considering CompetitorY due to their pricing concerns.,"Security, Pricing Discussion"
97,What discounts do you offer for renewals?,"Pricing Discussion, Objection"
98,"The analytics is impressive, but how does it compare to competitors?","Security, Pricing Discussion, Competition"
99,"The AI engine is impressive, but how does it compare to competitors?","Competition, Pricing Discussion"
100,Our team is worried about data security.,Objection
101,Can you provide a pricing model for your product features?,Objection
102,We are considering CompetitorZ due to their pricing concerns.,"Competition, Security, Objection"
103,Can you provide a budget for your product features?,"Objection, Competition, Security"
104,What discounts do you offer for renewals?,Competition
105,We are considering CompetitorX due to their pricing concerns.,"Competition, Pricing Discussion, Security"
106,What discounts do you offer for renewals?,"Competition, Security"
107,Can you provide a budget for your product features?,"Security, Pricing Discussion"
108,Our team is worried about data security.,"Objection, Pricing Discussion"
109,Our team is worried about compliance.,"Competition, Objection"
110,Our team is worried about data security.,Objection
111,Our team is worried about data security.,Objection
112,What discounts do you offer for renewals?,"Objection, Pricing Discussion"
113,Can you provide a budget for your product features?,"Competition, Security"
114,We are considering CompetitorY due to their pricing concerns.,Security
115,What discounts do you offer for renewals?,Objection
116,Can you provide a budget for your product features?,Pricing Discussion
117,"The data pipeline is impressive, but how does it compare to competitors?",Objection
118,Our team is worried about integration.,Objection
119,"The AI engine is impressive, but how does it compare to competitors?",Competition
120,Our team is worried about compliance.,"Competition, Security"
121,We are considering CompetitorX due to their pricing concerns.,Competition
122,What discounts do you offer for renewals?,Pricing Discussion
123,"The AI engine is impressive, but how does it compare to competitors?",Competition
124,Our team is worried about compliance.,Security
125,We are considering CompetitorZ due to their pricing concerns.,Competition
126,We are considering CompetitorZ due to their pricing concerns.,"Competition, Objection, Security"
127,Can you provide a renewal cost for your product features?,Objection
128,Can you provide a pricing model for your product features?,"Security, Pricing Discussion, Objection"
129,What discounts do you offer for renewals?,Security
130,We are considering CompetitorZ due to their pricing concerns.,"Security, Objection, Competition"
131,What discounts do you offer for renewals?,Objection
132,What discounts do you offer for renewals?,"Pricing Discussion, Competition, Security"
133,Can you provide a budget for your product features?,Objection
134,We are considering CompetitorX due to their pricing concerns.,Competition
135,What discounts do you offer for renewals?,Competition
136,We are considering CompetitorZ due to their pricing concerns.,"Competition, Security, Pricing Discussion"
137,Our team is worried about compliance.,"Pricing Discussion, Security"
138,Can you provide a pricing model for your product features?,"Competition, Security"
139,"The analytics is impressive, but how does it compare to competitors?","Competition, Security"
140,"The AI engine is impressive, but how does it compare to competitors?",Pricing Discussion
141,"The data pipeline is impressive, but how does it compare to competitors?",Pricing Discussion
142,Our team is worried about data security.,"Pricing Discussion, Security"
143,"The analytics is impressive, but how does it compare to competitors?","Objection, Competition, Pricing Discussion"
144,We are considering CompetitorZ due to their pricing concerns.,Pricing Discussion
145,"The analytics is impressive, but how does it compare to competitors?","Pricing Discussion, Objection, Security"
146,Our team is worried about compliance.,"Pricing Discussion, Competition, Security"
147,"The data pipeline is impressive, but how does it compare to competitors?",Competition
148,Can you provide a renewal cost for your product features?,Competition
149,What discounts do you offer for renewals?,Objection
150,What discounts do you offer for renewals?,Objection
